ep_len_mean,clipfrac,fps,time_elapsed,approxkl,policy_loss,total_timesteps,serial_timesteps,explained_variance,policy_entropy,true_reward,n_updates,ep_reward_mean,value_loss
182.45,0.032211997,103523,51.98173451423645,0.0032283128,-0.0030812353,2050000,20500,0.8440175652503967,5.7117486,0.060754184,82,11.369249245129286,0.3644765
176.57,0.024356002,98345,52.59040355682373,0.002658796,-0.0028060598,2075000,20750,0.8752822950482368,5.7113876,0.0586449,83,10.731585805175436,0.32889897
201.75,0.014432,101283,53.203033685684204,0.0019342769,-0.00151685,2100000,21000,0.8021240234375,5.7127767,0.05567181,84,11.657955737707761,0.49021187
198.33,0.009784,101059,53.81411004066467,0.0014908941,-0.0021384608,2125000,21250,0.8572243452072144,5.7137775,0.05935504,85,12.291088742146039,0.3474729
193.88,0.013723999,97886,54.42899799346924,0.0019613463,-0.0031665876,2150000,21500,0.8398945927619934,5.7126203,0.05560234,86,11.340923184752828,0.6162945
214.61,0.059084006,96039,55.054813623428345,0.004980362,-0.0024236205,2175000,21750,0.8548690974712372,5.71008,0.061273143,87,13.737000202096,0.28794217
227.51,0.026948,92446,55.67460060119629,0.0029217887,-0.0027504354,2200000,22000,0.8460764288902283,5.7066355,0.06119897,88,14.566545260336234,0.28098708
236.59,0.027540002,88005,56.30250287055969,0.0028807549,-0.0018742827,2225000,22250,0.7781413048505783,5.703507,0.06317081,89,15.264517483350993,0.26731363
226.64,0.084908,95585,56.94474530220032,0.006692618,-0.0014977673,2250000,22500,0.824572890996933,5.699765,0.061562408,90,14.350277456191215,0.25551748
222.43,0.044072,98649,57.56100344657898,0.004042516,-0.0023842305,2275000,22750,0.8477496653795242,5.696977,0.062503815,91,14.477197105054675,0.23608851
231.19,0.053911995,93481,58.18580770492554,0.0047064545,-0.0020583116,2300000,23000,0.8221416473388672,5.6962743,0.061910342,92,14.583159389377137,0.25715786
231.49,0.038684,98759,58.82301163673401,0.0036312349,-0.002630515,2325000,23250,0.8183154761791229,5.6953173,0.058973543,93,14.154242573574956,0.2538301
235.33,0.022248,99109,59.43351340293884,0.0024664276,-0.0018301621,2350000,23500,0.8070810437202454,5.693686,0.060571942,94,14.770388617990044,0.23399186
236.25,0.043048,101284,60.03762626647949,0.0038491543,-0.0019432878,2375000,23750,0.7919086962938309,5.6910543,0.06305346,95,15.203968619541666,0.19684272
240.08,0.07407999,99437,60.644187688827515,0.0060990313,-0.0015245711,2400000,24000,0.7867576032876968,5.688433,0.06399387,96,15.588832070416492,0.1714982
230.43,0.07210399,104874,61.24642753601074,0.0058381325,-0.0010375644,2425000,24250,0.8002639710903168,5.6858883,0.061905414,97,14.700994241658227,0.19749354
235.25,0.056807995,97184,61.84508943557739,0.004827264,-0.0026387882,2450000,24500,0.8211497813463211,5.683357,0.06372063,98,15.34924666649858,0.16514201
228.25,0.091468,102241,62.46110773086548,0.00715123,-0.0017762886,2475000,24750,0.8419319242238998,5.68032,0.0608816,99,14.533987600808995,0.20165177
232.77,0.060884,98542,63.073222398757935,0.0049628215,-0.0026459717,2500000,25000,0.8331758975982666,5.6781282,0.057629004,100,13.93438399890665,0.1962043
234.08,0.05812,97686,63.69989728927612,0.0047423057,-0.002873467,2525000,25250,0.8358814567327499,5.6756754,0.06252825,101,15.076599881460474,0.16670103
239.99,0.091992006,101693,64.30297565460205,0.0073066102,-0.000530621,2550000,25500,0.8131956309080124,5.6719465,0.061940063,102,15.164914529789785,0.15822947
235.05,0.060264,98562,64.90733790397644,0.0049981438,-0.002796073,2575000,25750,0.8553376644849777,5.6689153,0.05845546,103,14.240039674304407,0.17796841
242.16,0.06122,100088,65.51427960395813,0.0050160033,-0.0029071164,2600000,26000,0.7961531728506088,5.667203,0.06024692,104,14.943752354000353,0.1503842
240.86,0.10229199,102832,66.13568687438965,0.007986638,-0.002107529,2625000,26250,0.8504084199666977,5.6661196,0.06168125,105,15.260462422496312,0.1445903
239.23,0.079956,94700,66.73120021820068,0.0064106137,-0.003131656,2650000,26500,0.8691079318523407,5.663399,0.061604697,106,15.213791468278014,0.14089787
239.14,0.117296,96518,67.3475992679596,0.00930238,-0.0016918483,2675000,26750,0.8508517891168594,5.6599226,0.06193353,107,15.204726136593086,0.14817093
243.8,0.094032004,105454,67.96941995620728,0.007276549,-0.0036004614,2700000,27000,0.8073482066392899,5.6556916,0.06343041,108,15.662468494510776,0.1134582
240.59,0.112484,102480,68.55881237983704,0.008713138,-0.0020584892,2725000,27250,0.8512882739305496,5.6511393,0.064440444,109,15.959815087241678,0.122087754
243.7,0.075683996,98151,69.16447639465332,0.006060875,-0.003975558,2750000,27500,0.8521295636892319,5.647789,0.0638073,110,15.790032645400366,0.14375855
242.71,0.068636,98860,69.78225779533386,0.0056439266,-0.004128553,2775000,27750,0.8124343305826187,5.64528,0.06713502,111,16.70454470655997,0.12429736
235.61,0.079496,97641,70.3922426700592,0.0063911676,-0.0041722916,2800000,28000,0.8492851257324219,5.6364584,0.06565309,112,15.996600870038383,0.13782792
246.11,0.041612,103543,71.00225377082825,0.004086288,-0.0030093584,2825000,28250,0.7813807129859924,5.630536,0.069516405,113,17.254019278598644,0.082736045
241.95,0.044788,99713,71.60086679458618,0.00416905,-0.0037673828,2850000,28500,0.8173494935035706,5.6258974,0.06723247,114,16.563831895488764,0.0962544
243.49,0.047180004,104872,72.204585313797,0.0044074124,-0.0036134408,2875000,28750,0.7995715290307999,5.620717,0.069792666,115,17.174750518770015,0.07977043
245.19,0.043304004,104509,72.7936544418335,0.004187706,-0.004245784,2900000,29000,0.804251179099083,5.6128244,0.06873471,116,17.16849381940243,0.1137856
244.54,0.062232,100036,73.3844006061554,0.005087003,-0.0044249953,2925000,29250,0.8520365953445435,5.608981,0.07200643,117,17.808937219055878,0.078229666
246.63,0.063071996,105916,73.99867701530457,0.00519298,-0.0033299737,2950000,29500,0.8221617639064789,5.6012473,0.07610068,118,18.975168120706513,0.056978047
248.69,0.101004004,98736,74.60006165504456,0.0075915246,-0.0028919412,2975000,29750,0.8037799745798111,5.5889354,0.07690875,119,19.190917604704374,0.04781273
248.27,0.104908004,103450,75.20807385444641,0.007695721,-0.0030491957,3000000,30000,0.8277270644903183,5.5794005,0.078791715,120,19.664498649243033,0.042534564
247.77,0.06374,97215,75.80865812301636,0.00535096,-0.004228676,3025000,30250,0.8845280036330223,5.5701942,0.07778562,121,19.537128910600078,0.051442645
250.0,0.056571998,99667,76.42938303947449,0.004850072,-0.0036126536,3050000,30500,0.7182476818561554,5.559775,0.08040676,122,20.101691298629156,0.02655829
247.32,0.059444,102169,77.0231409072876,0.0050660837,-0.0034256515,3075000,30750,0.8570882678031921,5.5485086,0.079991564,123,20.055365537377075,0.058469903
248.52,0.030704001,104982,77.6237096786499,0.0034556813,-0.0031599812,3100000,31000,0.8288887739181519,5.540645,0.08194159,124,20.427354289847134,0.044956088
247.67,0.027831998,100547,78.23253464698792,0.0033514458,-0.0035720032,3125000,31250,0.8620386570692062,5.527815,0.08087016,125,20.139872501941735,0.05179264
247.14,0.052355997,101429,78.832190990448,0.0048457207,-0.004071231,3150000,31500,0.8460204154253006,5.5152597,0.079719976,126,19.838401051604233,0.18951143
245.69,0.050148,103292,79.4336347579956,0.004451106,-0.004767738,3175000,31750,0.8919288963079453,5.5080175,0.08391016,127,20.902230094423285,0.05277735
248.32,0.051411998,103857,80.02197980880737,0.0046652695,-0.0031788044,3200000,32000,0.8546708822250366,5.4951277,0.08491338,128,21.1266099833895,0.034229297
248.77,0.035248004,107718,80.6210868358612,0.003762839,-0.003893581,3225000,32250,0.8929302617907524,5.4780493,0.084791936,129,21.17609623078921,0.02960211
246.7,0.035136,105159,81.20967125892639,0.0037561264,-0.0041203583,3250000,32500,0.918235532939434,5.462194,0.08457242,130,21.107767607699497,0.03840483
247.09,0.03128,107068,81.81111884117126,0.003708186,-0.0036015399,3275000,32750,0.9002015367150307,5.4496317,0.08542096,131,21.290955662357447,0.035152964
250.0,0.023764,101813,82.39819097518921,0.0035168186,-0.0038568894,3300000,33000,0.8159681111574173,5.4388227,0.0830687,132,20.767175326435755,0.26218626
249.4,0.016244,109060,82.99445581436157,0.0022296468,-0.0026186337,3325000,33250,0.853385329246521,5.4335465,0.08703105,133,21.736575827401175,0.023845233
246.98,0.026464,102328,83.58776879310608,0.0028372798,-0.0041141035,3350000,33500,0.89059928804636,5.427166,0.0868951,134,21.624052328454855,0.04406796
249.39,0.021864,104944,84.18676137924194,0.002800538,-0.0033994173,3375000,33750,0.8724786937236786,5.4177275,0.08765472,135,21.906680477724002,0.028703999
246.82,0.045144,95987,84.77985215187073,0.0041978294,-0.004900883,3400000,34000,0.9018840417265892,5.4030366,0.08505666,136,21.20933546627406,0.05264337
248.62,0.029628,96154,85.39732313156128,0.0031502824,-0.0039834483,3425000,34250,0.8957781195640564,5.392583,0.08767385,137,21.911855360032643,0.026258076
248.95,0.032103997,101220,86.0119776725769,0.003515611,-0.003760924,3450000,34500,0.8934020176529884,5.3812337,0.08819312,138,22.030895175462867,0.030842338
249.32,0.020184,106436,86.62521624565125,0.0027372793,-0.0033828926,3475000,34750,0.8767375722527504,5.3686,0.08948962,139,22.36241086624097,0.016919132
249.46,0.024532,100827,87.21780943870544,0.0028958488,-0.003912715,3500000,35000,0.8603611588478088,5.355956,0.089147285,140,22.275094874242786,0.019240629
250.0,0.020364,98517,87.80324506759644,0.0028098389,-0.0029567778,3525000,35250,0.82344551384449,5.345084,0.08968107,141,22.42026640909142,0.013973894
250.0,0.024284001,99213,88.40840530395508,0.0029729907,-0.0038036252,3550000,35500,0.8036365061998367,5.3312154,0.09030614,142,22.576535263173284,0.008703852
248.75,0.029299999,99087,89.01248693466187,0.0034397028,-0.0045765573,3575000,35750,0.9170531779527664,5.317502,0.08933224,143,22.327994435695,0.016628098
250.0,0.048644,103637,89.61905765533447,0.0044842437,-0.00419988,3600000,36000,0.8554295152425766,5.3048487,0.08913026,144,22.282566229393122,0.01917606
249.35,0.026244,104528,90.21193051338196,0.0033210986,-0.0037837215,3625000,36250,0.8959454894065857,5.292505,0.08935735,145,22.328502021334426,0.01595039
249.46,0.021900002,100771,90.80460524559021,0.0028589044,-0.003754851,3650000,36500,0.8907514065504074,5.2797976,0.089631625,146,22.387962122906757,0.016858116
250.0,0.027608002,98506,91.41069316864014,0.003332002,-0.0033408725,3675000,36750,0.8006899654865265,5.26822,0.0909728,147,22.743199236255897,0.007870639
248.93,0.023972,102544,92.02201890945435,0.0031483439,-0.003986722,3700000,37000,0.8826190158724785,5.2552347,0.09038553,148,22.570906846842263,0.020213673
250.0,0.025776003,95714,92.61575651168823,0.0028976747,-0.0030333586,3725000,37250,0.8535693734884262,5.2449856,0.09059996,149,22.649992161900737,0.008030362
250.0,0.018388,104370,93.23152947425842,0.0025030856,-0.003319955,3750000,37500,0.8733072578907013,5.231841,0.09137815,150,22.844536941037514,0.007188027
249.52,0.024656001,99223,93.82285809516907,0.0028176203,-0.0038087883,3775000,37750,0.9150058180093765,5.218081,0.09017401,151,22.52824940037215,0.013930077
250.0,0.015280001,95836,94.43323636054993,0.0022352512,-0.0033278696,3800000,38000,0.8446584194898605,5.2089033,0.09081387,152,22.70346717566974,0.008682411
249.45,0.017716,100372,95.04105854034424,0.0027319393,-0.0032441982,3825000,38250,0.8630067110061646,5.1984444,0.090736456,153,22.666268406565067,0.013928356
248.79,0.031704,103346,95.6507203578949,0.0033022289,-0.0036925182,3850000,38500,0.884128525853157,5.19168,0.09019135,154,22.502541365910364,0.021341076
250.0,0.017267998,105919,96.25861883163452,0.0026257685,-0.003164817,3875000,38750,0.8534037917852402,5.183238,0.09101543,155,22.75385882863455,0.008026895
249.39,0.021467999,98716,96.84209823608398,0.002897034,-0.0035555654,3900000,39000,0.8940478935837746,5.1715517,0.0906392,156,22.64237026744755,0.014010754
