policy_loss,value_loss,clipfrac,time_elapsed,fps,ep_len_mean,policy_entropy,explained_variance,total_timesteps,true_reward,n_updates,serial_timesteps,ep_reward_mean,approxkl
-0.0016738849,0.5305742,0.008368,44.22136569023132,118540,168.5,5.622716,0.817999005317688,1925000,0.050965503,77,19250,8.531139609740704,0.0014312507
-0.00261852,0.32071716,0.021112,44.86672306060791,98759,167.35,5.623915,0.8824275657534599,1950000,0.05861974,78,19500,10.22553800190879,0.0024379692
-0.0021941327,0.33952555,0.023292001,45.54077386856079,112942,193.64,5.623993,0.8697046041488647,1975000,0.05827672,79,19750,11.768902665627115,0.0026591117
-0.0016944602,0.30680045,0.014436001,46.196428060531616,105075,187.01,5.623217,0.8826437890529633,2000000,0.05877876,80,20000,11.533376310205377,0.002012633
-0.0016770983,0.35133642,0.014763999,46.81955599784851,147724,205.44,5.6223,0.839298352599144,2025000,0.05909253,81,20250,12.52439930316883,0.0018375153
-0.0018358233,0.3133984,0.012468,47.39209532737732,102441,198.99,5.6224656,0.8740343600511551,2050000,0.05851,82,20500,12.197415203302008,0.0016901412
-0.002381764,0.3215657,0.014652001,48.03823399543762,99017,199.61,5.6223392,0.8670880049467087,2075000,0.059188902,83,20750,12.529103489702901,0.0017207233
-0.0042169923,0.25166512,0.030831998,48.65979218482971,108844,197.91,5.621009,0.9052340313792229,2100000,0.06471599,84,21000,13.928782079579031,0.003097976
-0.0037804763,0.21033044,0.040707998,49.25483798980713,136408,198.15,5.617598,0.900128647685051,2125000,0.06783645,85,21250,14.115613578091361,0.0039358544
-0.0039912155,0.18926144,0.044864,49.80902934074402,148087,219.48,5.6141253,0.8992642313241959,2150000,0.0685987,86,21500,15.736716488221736,0.0040432736
-0.0042851306,0.19300523,0.052076,50.35222887992859,132504,225.79,5.613618,0.9014307633042336,2175000,0.0691352,87,21750,16.191165884809088,0.0047241137
-0.0041502225,0.1502921,0.043996,50.989744663238525,99876,225.61,5.6095195,0.9120768681168556,2200000,0.0691469,88,22000,16.274197316876815,0.0041736593
-0.003397765,0.14610459,0.054360002,51.72030258178711,91602,232.03,5.6025505,0.898367203772068,2225000,0.07111649,89,22250,17.09038015445578,0.004806973
-0.0036807484,0.11700994,0.052100003,52.415894508361816,96729,243.6,5.592876,0.8717670440673828,2250000,0.071159065,90,22500,17.53098934455782,0.0046820575
-0.0031021265,0.10397242,0.058999993,53.09404945373535,97801,244.83,5.585802,0.8856188133358955,2275000,0.07079678,91,22750,17.477258240150277,0.005062787
-0.003307176,0.102386676,0.062852,53.79104471206665,114566,246.46,5.5749636,0.810733899474144,2300000,0.07261475,92,23000,18.0755452282694,0.005308112
-0.0029557408,0.080216244,0.08427199,54.39314150810242,126875,247.45,5.5711474,0.8344638645648956,2325000,0.072826825,93,23250,18.1204229836203,0.0066408673
-0.0016583946,0.102733776,0.051184,54.956417083740234,142255,246.67,5.568501,0.7874617725610733,2350000,0.0687692,94,23500,17.070480363752118,0.004607766
-0.003944684,0.10009625,0.031956,55.462029218673706,128547,243.71,5.565175,0.8456214666366577,2375000,0.071560726,95,23750,17.639540367388328,0.003160928
-0.004212751,0.08420761,0.046671998,56.00377678871155,158251,244.45,5.561572,0.8367565274238586,2400000,0.07346212,96,24000,18.16071218131656,0.0042244457
-0.0037087095,0.07808603,0.052371997,56.51823663711548,145975,244.25,5.5594444,0.8696270883083344,2425000,0.07299925,97,24250,18.02275557495821,0.00461245
-0.0034592315,0.071878076,0.046976,57.03617024421692,135378,247.42,5.5540543,0.7355381846427917,2450000,0.07514355,98,24500,18.685260397525216,0.0043164687
-0.003931151,0.059477657,0.06132,57.56940984725952,125412,249.54,5.54613,0.8298379778862,2475000,0.07522395,99,24750,18.783984599529358,0.005211667
-0.0038773834,0.05812604,0.057528,58.12295913696289,142132,246.97,5.5335245,0.8564543128013611,2500000,0.07773873,100,25000,19.34474205722619,0.005006778
-0.0044849757,0.049761344,0.055207998,58.64719080924988,135688,245.9,5.5191708,0.868052139878273,2525000,0.07951222,101,25250,19.716552807644767,0.0049806824
-0.0042608054,0.058762185,0.051087998,59.190573930740356,129668,246.56,5.507751,0.8681725263595581,2550000,0.07999147,102,25500,19.90922575310251,0.0047318386
-0.0036664843,0.060820617,0.052144002,59.73818278312683,125809,246.33,5.5002575,0.8751146793365479,2575000,0.08061059,103,25750,20.042467936502433,0.004823693
-0.0033993914,0.04765462,0.034355998,60.289623737335205,144930,246.94,5.492167,0.8984852582216263,2600000,0.081675805,104,26000,20.31157926884218,0.0037233154
-0.003771443,0.032854415,0.024055999,60.79862141609192,153027,250.0,5.4799266,0.8673538118600845,2625000,0.08186898,105,26250,20.467242905036546,0.0029337737
-0.0025361371,0.03200505,0.035048,61.31409215927124,141468,248.98,5.4656034,0.8477593213319778,2650000,0.08305719,106,26500,20.719339357967257,0.003697414
-0.003029689,0.032607228,0.021584,61.821617603302,124261,249.3,5.455549,0.844554215669632,2675000,0.08238381,107,26750,20.569668201584136,0.0027408532
-0.0042618364,0.043246858,0.019144,62.35951089859009,137483,249.44,5.4469314,0.8987356796860695,2700000,0.08157623,108,27000,20.37299802957119,0.0023765163
-0.0038140926,0.031329803,0.033216,62.864872217178345,135389,249.49,5.4393015,0.8937867879867554,2725000,0.082028136,109,27250,20.483974692508344,0.0034497075
-0.0035651654,0.021088827,0.034936,63.38940644264221,122831,250.0,5.4286366,0.8114918917417526,2750000,0.08464917,110,27500,21.16229330764094,0.003744694
-0.004782754,0.02756626,0.047576,63.935760498046875,144716,248.62,5.4136853,0.8629400283098221,2775000,0.084964044,111,27750,21.20540335498983,0.004607225
-0.0031225872,0.017557714,0.031304,64.46145248413086,111709,250.0,5.4002953,0.8341164886951447,2800000,0.08551587,112,28000,21.378967538894212,0.0035420202
-0.0042305477,0.029406527,0.022776002,65.03605651855469,136102,248.57,5.3860984,0.8788667321205139,2825000,0.08518022,113,28250,21.238187119183422,0.0029514194
-0.0041130083,0.020806301,0.040172,65.55967450141907,113481,250.0,5.373622,0.8730353564023972,2850000,0.08487792,114,28500,21.219476766280422,0.0040094177
-0.0035405918,0.022138057,0.037483998,66.1136384010315,136275,249.43,5.366056,0.882949210703373,2875000,0.08518687,115,28750,21.268214250578602,0.003963084
-0.0037590663,0.021202853,0.028164,66.63648986816406,121312,248.6,5.3589554,0.8925369083881378,2900000,0.08653601,116,29000,21.573479109365145,0.0030521557
-0.0033726678,0.021689106,0.022367999,67.20023727416992,141145,249.51,5.353962,0.883770190179348,2925000,0.08591141,117,29250,21.463116643715765,0.0028080193
-0.0033081553,0.022358352,0.015248001,67.72832870483398,140258,248.74,5.349609,0.8873319253325462,2950000,0.08667997,118,29500,21.63282139426592,0.0023423485
-0.0038538326,0.021573462,0.038184,68.25561928749084,132981,248.88,5.3453236,0.8787732273340225,2975000,0.08716561,119,29750,21.754482984296338,0.0038115636
-0.002919892,0.02055131,0.012632,68.79710221290588,121294,249.33,5.339065,0.878233015537262,3000000,0.08645991,120,30000,21.589436984589266,0.0020815874
-0.0033609911,0.02366108,0.022311999,69.3409206867218,135751,248.66,5.336141,0.8762780129909515,3025000,0.086701766,121,30250,21.62156179359561,0.0027608355
-0.0030420846,0.015397695,0.025444001,69.8719756603241,134868,250.0,5.3321357,0.8614453226327896,3050000,0.08692745,122,30500,21.73186329006152,0.0031137404
-0.0034326543,0.025524598,0.028671999,70.39648818969727,137223,249.09,5.320083,0.901641346514225,3075000,0.08707428,123,30750,21.732687569908684,0.003468375
-0.0027377955,0.011625231,0.015064001,70.93963360786438,145539,250.0,5.3098555,0.8543962687253952,3100000,0.08788047,124,31000,21.970116748467408,0.002253236
-0.003734346,0.010521691,0.031968,71.45587730407715,149029,250.0,5.2976975,0.8727047145366669,3125000,0.08767754,125,31250,21.919385547107304,0.0036903936
-0.0030441058,0.011483967,0.015539998,71.99371242523193,140618,250.0,5.285952,0.8475369513034821,3150000,0.08802663,126,31500,22.006658252140042,0.0022734404
-0.004093837,0.019026715,0.02196,72.52496385574341,123851,248.96,5.275464,0.8590711355209351,3175000,0.08821393,127,31750,22.01706142677658,0.0025725192
-0.0039737346,0.0144936545,0.02352,73.07024335861206,140857,250.0,5.2651544,0.8709036111831665,3200000,0.08755211,128,32000,21.888028185031725,0.0028829828
-0.0038462505,0.017153878,0.021212,73.5947847366333,122335,248.69,5.256146,0.8784689679741859,3225000,0.08850877,129,32250,22.08873197624518,0.0028038602
-0.003203404,0.0117640365,0.025171999,74.1437840461731,155793,249.46,5.248929,0.8980399891734123,3250000,0.088718615,130,32500,22.16052063128911,0.0028340977
-0.0033573725,0.01681289,0.024335999,74.64914202690125,124183,249.37,5.240992,0.9009010195732117,3275000,0.08768225,131,32750,21.902718884208735,0.0032115697
-0.0031789914,0.020360306,0.023188,75.21498155593872,123399,248.81,5.2327843,0.9065682888031006,3300000,0.08749342,132,33000,21.832449570125263,0.003029821
-0.0036566097,0.015446062,0.026535999,75.76070427894592,142058,250.0,5.223389,0.8897834122180939,3325000,0.08820114,133,33250,22.05028711641673,0.0032666144
-0.0029822509,0.007441743,0.016007999,76.27813172340393,126831,250.0,5.2157435,0.8291611671447754,3350000,0.08972826,134,33500,22.43206591567192,0.0022746157
-0.002928644,0.013316001,0.0120480005,76.83374285697937,140929,249.26,5.207243,0.8810112550854683,3375000,0.08901428,135,33750,22.23338236112293,0.001905008
-0.0039178785,0.011091165,0.030560002,77.35577535629272,130759,250.0,5.1977777,0.9002597033977509,3400000,0.08872928,136,34000,22.182318429813314,0.003635394
-0.004405747,0.020303864,0.037511997,77.9058198928833,123625,248.48,5.1898394,0.8976800963282585,3425000,0.08931489,137,34250,22.3011174056938,0.003643119
-0.0037131845,0.013018241,0.026340002,78.50488591194153,131114,249.37,5.1834483,0.8898198306560516,3450000,0.089323945,138,34500,22.310693821632594,0.0031021305
-0.003994706,0.01594288,0.027584001,79.05879664421082,124005,248.72,5.1780167,0.9025415629148483,3475000,0.09009496,139,34750,22.49383966836758,0.0033106643
-0.003061128,0.0111427065,0.015428001,79.60477614402771,141484,250.0,5.176274,0.8700619786977768,3500000,0.089502804,140,35000,22.375702015036076,0.0024013051
-0.0030951977,0.00965589,0.015304001,80.1267478466034,128526,250.0,5.1717706,0.8952757194638252,3525000,0.08943167,141,35250,22.357916341371237,0.0020928415
-0.0035071068,0.013610331,0.028792,80.6592698097229,142418,249.31,5.1689196,0.8962817043066025,3550000,0.09012932,142,35500,22.52558924486446,0.0035551605
