clipfrac,explained_variance,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,total_timesteps,time_elapsed,fps,value_loss,ep_reward_mean,ep_len_mean,policy_loss
0.008008,0.7107717096805573,5.793259,20750,83,0.03937219,0.001408346,2075000,74.11519360542297,56713,0.8680366,5.649888257879775,113.86,-0.0012961024
0.006864,0.6809322237968445,5.7951217,21000,84,0.042616572,0.001237964,2100000,74.97529578208923,55855,0.78566295,6.134932664078242,133.46,-0.0013342587
0.014932001,0.7438754737377167,5.796473,21250,85,0.0465664,0.0018803913,2125000,75.82335376739502,55846,0.6924032,7.308727554804136,122.37,-0.001742553
0.017876,0.7299095690250397,5.7960386,21500,86,0.04513201,0.0023307833,2150000,76.72015762329102,58714,0.66012186,7.2390883777325685,144.27,-0.0020709343
0.006656,0.7548119872808456,5.7939444,21750,87,0.049433358,0.0013027147,2175000,77.64685606956482,73189,0.5778188,7.5960330494227675,132.99,-0.001362116
0.0125279995,0.8213457763195038,5.792005,22000,88,0.05056109,0.001618521,2200000,78.41770792007446,62327,0.47625685,7.789800563199387,139.47,-0.0017731981
0.0074879997,0.733796238899231,5.7901263,22250,89,0.047985088,0.0011035295,2225000,79.28942155838013,68027,0.6619388,7.604482866522667,133.43,-0.0012372803
0.012332,0.7980694472789764,5.789078,22500,90,0.052695006,0.001794125,2250000,80.15381908416748,79335,0.4950711,8.40481766453162,140.32,-0.0016872382
0.015456,0.7708500176668167,5.788474,22750,91,0.046392,0.0019043783,2275000,80.94117021560669,70320,0.6094373,7.78130734314127,147.88,-0.0018646633
0.023268,0.7541020512580872,5.7894244,23000,92,0.045858618,0.002522289,2300000,81.83405137062073,79460,0.598911,7.815202948135993,155.18,-0.0012314122
0.006212,0.7120263278484344,5.789468,23250,93,0.048325077,0.001289644,2325000,82.7201714515686,81084,0.5979308,9.537036924744056,179.36,-0.00085884397
0.016768001,0.7400858402252197,5.789491,23500,94,0.047703363,0.0019836067,2350000,83.60768961906433,93284,0.61374265,9.318738147140193,172.38,-0.001735762
0.013052,0.7653679102659225,5.790015,23750,95,0.050403368,0.0018077135,2375000,84.50205135345459,107758,0.5064085,9.170147612643213,170.68,-0.0017398618
0.019552002,0.7936778366565704,5.7907906,24000,96,0.05627379,0.0022466413,2400000,85.35690474510193,98942,0.3734873,10.50684396884115,180.07,-0.0019227366
0.032420002,0.8042488396167755,5.789512,24250,97,0.05585259,0.003147637,2425000,86.22293877601624,91146,0.38295728,11.048235455471804,192.03,-0.0015586229
0.031700004,0.838953360915184,5.7875533,24500,98,0.06371153,0.0032502231,2450000,87.09129548072815,93088,0.2786686,13.133155729479768,196.86,-0.003561071
0.03116,0.7972982227802277,5.783963,24750,99,0.06262663,0.0031565693,2475000,87.9447250366211,83444,0.27920228,14.215334521145742,218.71,-0.0031032455
0.057764,0.7967861145734787,5.7795334,25000,100,0.061707884,0.004935185,2500000,88.79240918159485,84946,0.26879033,13.932754091891384,218.72,-0.0018144858
0.029811999,0.8107137531042099,5.7758884,25250,101,0.065621525,0.0032244634,2525000,89.6263313293457,73137,0.20697418,15.331598523694192,226.89,-0.0036500152
0.043787997,0.8379989564418793,5.770068,25500,102,0.06654228,0.003937954,2550000,90.45406007766724,80059,0.18736118,15.63252289070966,227.98,-0.0030849138
0.03314,0.8247761875391006,5.765292,25750,103,0.06605867,0.0033835736,2575000,91.29141998291016,80106,0.16156879,15.96712623193307,235.31,-0.003335353
0.042616,0.7935583740472794,5.757343,26000,104,0.06847322,0.004011584,2600000,92.1442301273346,85789,0.13065599,16.582674850564146,239.67,-0.0029658566
0.065656,0.8550595790147781,5.7471194,26250,105,0.06696484,0.005410227,2625000,92.97554779052734,81660,0.13649583,16.062471615559538,231.4,-0.0031386
0.061403997,0.8394216150045395,5.7393007,26500,106,0.0690232,0.005261633,2650000,93.81770133972168,87426,0.13875923,16.403369788045747,233.64,-0.0035030022
0.049604,0.8595232367515564,5.7309446,26750,107,0.06993705,0.0045175576,2675000,94.67374587059021,75025,0.1281322,16.826682208185375,233.04,-0.0036722603
0.052424002,0.8407625406980515,5.72694,27000,108,0.07242527,0.0046125446,2700000,95.54415011405945,81046,0.10284223,17.65798142475172,239.18,-0.0033585217
0.049316,0.8377943783998489,5.7240014,27250,109,0.07161983,0.0044888104,2725000,96.38622951507568,84955,0.093781516,17.717164414431462,245.12,-0.0033491948
