serial_timesteps,policy_loss,policy_entropy,approxkl,ep_reward_mean,clipfrac,n_updates,value_loss,explained_variance,time_elapsed,total_timesteps,true_reward,ep_len_mean,fps
26250,-0.0013698818,5.6502333,0.0023294473,3.9672387476941684,0.019824002,105,1.2155622,0.44943898916244507,66.86697030067444,2625000,0.01746892,233.33,107939
26500,-0.0013405012,5.652348,0.0025498865,4.209103117543814,0.022788,106,1.2707901,0.5520686209201813,67.44130206108093,2650000,0.017848589,219.49,99633
26750,0.00029745087,5.653754,0.0029116904,4.821346468178254,0.027307998,107,1.1816084,0.5260752737522125,68.02317380905151,2675000,0.019749295,227.66,102096
27000,-0.0018585508,5.6547575,0.0022052336,4.099188983766389,0.02008,108,1.1807913,0.5423876345157623,68.60302591323853,2700000,0.017835673,227.32,111050
27250,-0.0006771799,5.6544657,0.0022063504,4.777715625175166,0.019632,109,1.0899115,0.5759385526180267,69.16862964630127,2725000,0.020062681,227.64,106148
27500,-0.0013635178,5.6538363,0.0016189149,5.286046353923084,0.011887999,110,0.98233116,0.6128188371658325,69.75472044944763,2750000,0.023942646,220.96,104658
27750,-0.0009623165,5.6539106,0.00249553,5.5354198208877055,0.023096,111,0.92663383,0.6110590100288391,70.33723998069763,2775000,0.023684187,228.9,104398
28000,-0.0013072165,5.6547976,0.0025029858,5.958158765729913,0.023036,112,0.75263375,0.629186600446701,70.9174280166626,2800000,0.02482507,239.21,101115
28250,-0.0013368912,5.655694,0.0017891265,8.34694448455544,0.014028001,113,0.55093205,0.6631265580654144,71.50270366668701,2825000,0.034756146,241.6,105837
28500,-0.0017406127,5.655621,0.0020336485,7.4706386638414335,0.016684,114,0.6252409,0.7196131944656372,72.0863242149353,2850000,0.032517865,228.23,109338
28750,-0.0018311779,5.655865,0.0025340184,7.246138029685749,0.021451999,115,0.6853207,0.7758415043354034,72.65579652786255,2875000,0.030632215,222.04,106101
29000,-0.0016624002,5.656703,0.0031007319,9.788365710357448,0.030360002,116,0.42868772,0.7375122904777527,73.23222327232361,2900000,0.041652814,234.05,108202
29250,-0.0010725912,5.6574817,0.0019030876,9.568440311505292,0.01212,117,0.3867636,0.7560120522975922,73.81050872802734,2925000,0.042409897,227.73,107753
29500,-0.0018957438,5.6578164,0.0024589966,10.051678466501016,0.021112,118,0.3442662,0.7534644305706024,74.37139534950256,2950000,0.043890685,228.88,111466
29750,-0.0013894084,5.6574297,0.0022102548,12.045135920269296,0.016776,119,0.27593395,0.7787641733884811,74.92832207679749,2975000,0.052419208,226.57,112225
30000,-0.0023000957,5.657519,0.0026507888,13.23099869097659,0.024652,120,0.22479801,0.786593109369278,75.4844810962677,3000000,0.05594034,232.95,109273
30250,-0.0013214721,5.6564775,0.0060215415,13.769908335967003,0.075256,121,0.21369359,0.7913798391819,76.05330204963684,3025000,0.058036022,230.5,107798
30500,-0.0024415448,5.65533,0.0026423729,13.081372682906617,0.025224,122,0.18888342,0.7842795699834824,76.60968375205994,3050000,0.05416909,239.97,111366
30750,-0.0035803406,5.6551847,0.004124891,14.49846929533927,0.046112,123,0.15578154,0.7936859577894211,77.16318655014038,3075000,0.05931504,239.2,112450
31000,-0.00268826,5.6544843,0.007571035,15.16388051830174,0.096219994,124,0.13118011,0.8094460517168045,77.71365761756897,3100000,0.06245976,238.78,109581
31250,-0.0031035647,5.6503763,0.00863445,15.488913563824767,0.1082,125,0.13824074,0.7915066778659821,78.27617573738098,3125000,0.063806064,238.16,112602
31500,-0.0018954643,5.645291,0.0054305447,16.22398382934489,0.06628,126,0.11398548,0.8034235537052155,78.82923698425293,3150000,0.06660882,237.91,111616
31750,-0.0030020128,5.6394644,0.0053626737,16.83808315911272,0.06432,127,0.107857905,0.8311393111944199,79.38894557952881,3175000,0.06824152,241.1,109508
32000,-0.0026821406,5.632458,0.0046972604,17.029217844195955,0.053080004,128,0.09206446,0.8019553869962692,79.94883751869202,3200000,0.07005457,239.09,107197
32250,-0.0031471096,5.625085,0.0061839437,17.421378746887495,0.076056,129,0.08048682,0.8032836616039276,80.51374697685242,3225000,0.07067025,243.48,118331
32500,-0.0030960843,5.6126184,0.0060531823,17.163062861794607,0.074728005,130,0.0989631,0.8541964590549469,81.06063485145569,3250000,0.070997514,235.38,116622
32750,-0.0036402815,5.5970926,0.005242455,17.638952217866258,0.060984004,131,0.072951555,0.8555113524198532,81.61223793029785,3275000,0.0726281,238.46,112273
33000,-0.0048155086,5.5838027,0.004812711,17.63064540904219,0.049844004,132,0.13178842,0.8595069348812103,82.17905902862549,3300000,0.07164723,241.03,104821
33250,-0.0037296463,5.575534,0.0044430834,18.68513323632331,0.047548003,133,0.08432691,0.8971735313534737,82.78281331062317,3325000,0.07485266,242.3,97157
33500,-0.0043247817,5.5697813,0.0045786095,18.19511302187009,0.052288003,134,0.07656253,0.8910626843571663,83.40703845024109,3350000,0.07457021,238.92,102822
33750,-0.003430081,5.566311,0.004242083,18.923873173947506,0.044048,135,0.080852374,0.89991694688797,83.99170160293579,3375000,0.07645955,241.69,104385
34000,-0.004456734,5.5635185,0.004507606,19.59819609907361,0.049300004,136,0.057685703,0.8688299208879471,84.57993340492249,3400000,0.078930415,245.59,108923
34250,-0.002833138,5.5606956,0.006314099,19.65062213854515,0.079384,137,0.06212025,0.898854099214077,85.14763379096985,3425000,0.08040428,239.79,104775
34500,-0.0030673104,5.5537233,0.0057362528,19.716845164213154,0.07084001,138,0.059693426,0.9139528423547745,85.72421669960022,3450000,0.07978126,242.42,123624
34750,-0.0027630324,5.5440087,0.007450731,20.601662992888834,0.09928001,139,0.038769566,0.8353468626737595,86.27768230438232,3475000,0.08264562,248.82,106429
35000,-0.0030318599,5.5324564,0.005878262,20.700549250248876,0.076912,140,0.039576516,0.8811719641089439,86.85508298873901,3500000,0.08314982,247.95,104205
35250,-0.0041722604,5.5204253,0.006737651,20.18861563079343,0.084516004,141,0.058982056,0.9047025665640831,87.43531799316406,3525000,0.0812363,246.54,106354
35500,-0.003569734,5.5102625,0.0054115015,21.00881948303082,0.06365599,142,0.035231292,0.860325038433075,88.01197743415833,3550000,0.08423822,248.36,107643
35750,-0.0028665457,5.5003476,0.006328942,20.982107641725452,0.079504,143,0.049014922,0.8833066895604134,88.58586525917053,3575000,0.08425227,247.6,109582
36000,-0.0042501464,5.4911165,0.0043792063,20.528039494215626,0.040116005,144,0.11051917,0.9131913781166077,89.15761375427246,3600000,0.08231832,248.1,103736
36250,-0.0049515488,5.478184,0.0038441974,20.822740906808903,0.038052,145,0.049162865,0.9188555926084518,89.73826456069946,3625000,0.08357922,247.55,102549
36500,-0.0040644286,5.4646826,0.003922506,21.325115415334004,0.042248,146,0.035933997,0.8917497545480728,90.33129358291626,3650000,0.085512206,247.47,106417
36750,-0.0043460913,5.451038,0.003642603,21.424959935392835,0.03502,147,0.035898153,0.8989756032824516,90.88732743263245,3675000,0.085889444,248.81,105348
37000,-0.003911187,5.4363027,0.002610339,21.66172689585801,0.020856,148,0.02780741,0.8753637447953224,91.45620965957642,3700000,0.086716115,249.45,121179
37250,-0.004002307,5.4173098,0.0030577877,21.69163583836751,0.022855999,149,0.038267918,0.8926344364881516,92.00039887428284,3725000,0.086950295,247.81,109829
37500,-0.0030768688,5.3956046,0.0031059168,21.80112383004598,0.025056,150,0.030720577,0.8442316949367523,92.55949115753174,3750000,0.08730901,249.34,107436
37750,-0.004654201,5.379741,0.0035571672,21.836738003391293,0.029916,151,0.034234263,0.9048874005675316,93.12637233734131,3775000,0.08772381,247.09,113083
38000,-0.0040348046,5.3686185,0.0028745183,21.826702139381087,0.025868002,152,0.0235197,0.9199112579226494,93.66538572311401,3800000,0.08730682,250.0,114123
38250,-0.0034220242,5.360923,0.00278352,22.256550241766963,0.022168,153,0.014962362,0.8200196921825409,94.21790885925293,3825000,0.0890262,250.0,107188
38500,-0.0044421344,5.346752,0.0034305654,21.855569509023624,0.028676,154,0.022636078,0.8660626411437988,94.77155637741089,3850000,0.08747726,249.48,108292
38750,-0.0038632366,5.33099,0.003485453,22.11477527242736,0.032339998,155,0.024703436,0.8757850080728531,95.34208154678345,3875000,0.08868983,248.12,107964
39000,-0.0038651184,5.3166437,0.0032539337,22.132749419101746,0.027284,156,0.01338343,0.8288706541061401,95.89648747444153,3900000,0.088530995,250.0,109592
39250,-0.0029320428,5.2988443,0.0023941868,22.446563665984723,0.016828,157,0.009345049,0.6666162312030792,96.46889042854309,3925000,0.08978625,250.0,107826
39500,-0.003306749,5.2781897,0.0031536415,22.186833812973056,0.023464,158,0.015601182,0.8702702820301056,97.02575612068176,3950000,0.088838436,249.44,109003
39750,-0.0042195027,5.262392,0.0035558809,22.060831502994116,0.030484,159,0.02294984,0.8510087579488754,97.5896954536438,3975000,0.08830625,249.42,100572
40000,-0.004170417,5.250652,0.0032637506,22.140083594969475,0.03004,160,0.019312661,0.8665818274021149,98.18613481521606,4000000,0.08863858,249.33,102979
40250,-0.0042564124,5.2439604,0.0031089429,22.23533083170938,0.026644,161,0.012236257,0.843730702996254,98.76818537712097,4025000,0.08894132,250.0,102639
40500,-0.004214245,5.235075,0.0035770833,22.442070144937023,0.032096002,162,0.016571652,0.8659368008375168,99.35336136817932,4050000,0.08981131,249.6,93955
40750,-0.0038076479,5.2242928,0.0033612363,22.07456193653481,0.032004,163,0.024596998,0.8962353318929672,100.01109385490417,4075000,0.08842505,249.33,66448
41000,-0.0036499952,5.2155166,0.0025237866,22.21148078490398,0.018652,164,0.020929253,0.8942636400461197,100.75808548927307,4100000,0.08898875,248.77,103782
41250,-0.005015595,5.2117143,0.0027965847,22.50579627395375,0.021744002,165,0.0243686,0.9113929867744446,101.33916568756104,4125000,0.09018862,247.21,98633
41500,-0.0044933567,5.2074356,0.0025070398,22.404299053208906,0.02228,166,0.020690989,0.9093891605734825,101.94483780860901,4150000,0.089767404,248.76,103744
41750,-0.0039913915,5.1987886,0.0028713387,22.54617608116765,0.023144001,167,0.016003972,0.8906426876783371,102.53312253952026,4175000,0.090351515,249.02,108497
42000,-0.0029081895,5.19102,0.002339481,22.60229428450577,0.016136,168,0.017468488,0.8771682530641556,103.09772992134094,4200000,0.09053698,249.11,109430
42250,-0.0032229845,5.1839795,0.0028824112,22.701188881110866,0.023055999,169,0.00795087,0.7793424427509308,103.67641854286194,4225000,0.09080476,250.0,103631
42500,-0.0056324345,5.1719184,0.003862952,22.393302584497942,0.034784,170,0.020909913,0.9126718863844872,104.30263590812683,4250000,0.08965446,248.67,93941
42750,-0.0045608254,5.163745,0.0028007748,22.527242478023982,0.021543998,171,0.018687906,0.8865194395184517,104.95322275161743,4275000,0.09010665,249.27,101237
43000,-0.00399482,5.1543365,0.0025703807,22.400025416860007,0.019388001,172,0.013346352,0.9159424602985382,105.55132484436035,4300000,0.08960011,250.0,103976
43250,-0.005350812,5.140344,0.0037226006,22.535829604310422,0.030615997,173,0.013234191,0.8926011472940445,106.1332380771637,4325000,0.09014332,250.0,103325
43500,-0.0043311445,5.124501,0.0039948216,22.422235202118173,0.037864,174,0.021759316,0.9001285582780838,106.77177095413208,4350000,0.089769885,249.21,104265
